company_id,company_name,country,eu_member_state,region,sector,subsector,industry,revenue_usd,total_assets_usd,employees,entity_type,listing_status,stock_symbol,fiscal_year,currency,company_size_band,csrd_applicable
59,Kojamo Oyj,Finland,Finland,Northern Europe,Construction/Industrials,Machinery,Agricultural Machinery,40070713.85,54639597.29,224,Private,Unlisted,,2024,EUR,Small,No
60,CaixaBank,Spain,Spain,Southern Europe,Financial Services,Capital Markets,Exchange / Clearing,271344677.4,3535668329.63,908,Public,Listed,CAIX.MC,2024,EUR,Medium,Yes
61,Antibiotice Iasi,Romania,Romania,Eastern Europe,Healthcare/Pharma,Biotechnology,Biotech,56999854.04,109173374.0,133,Private,Unlisted,,2024,EUR,Small,No
62,Optiver,Netherlands,Netherlands,Western Europe,Financial Services,Asset Management,Asset Management,7773513224.77,69671594439.27,20235,Public,Listed,OPTI.AS,2024,EUR,Large,Yes
63,Rovi Laboratorios,Spain,Spain,Southern Europe,Healthcare/Pharma,Pharmaceuticals,Generic Pharma,641735110.56,1092720774.32,3161,Private,Unlisted,,2024,EUR,Medium,Yes
64,Tubacex SA,Spain,Spain,Southern Europe,Manufacturing,Metals & Mining,Non-Ferrous Metals,271262910.88,458631945.12,894,Private,Unlisted,,2024,EUR,Medium,Yes
65,Eiffel Energy Transition,France,France,Western Europe,Energy/Utilities,Renewable Energy,Solar,44973329948.04,145058134822.25,70441,Public,Listed,EIFF.PA,2024,EUR,Large,Yes
66,Transgaz,Romania,Romania,Eastern Europe,Energy/Utilities,Electric Utilities,Transmission & Distribution,2448451486.11,8757284334.25,2759,Private,Unlisted,,2024,EUR,Large,Yes
67,Telenet Group,Belgium,Belgium,Western Europe,Telecommunications,Satellite,Satellite Services,89146260245.2,143584227406.42,207802,Public,Listed,TELE.BR,2024,EUR,Large,Yes
68,Alpha Bank,Greece,Greece,Southern Europe,Financial Services,Asset Management,Asset Management,1145114705.73,18452170398.81,4249,Private,Unlisted,,2024,EUR,Medium,Yes
69,Polimex Mostostal,Poland,Poland,Central Europe,Construction/Industrials,Aerospace & Defense,Defense,1051331198.29,1889307301.11,4730,Private,Unlisted,,2024,EUR,Medium,Yes
70,DSV A/S,Denmark,Denmark,Northern Europe,Automotive/Transport,Rail,Rail Operator,31280314750.82,73936415265.61,122322,Public,Listed,DSVA.CO,2024,EUR,Large,Yes
71,Hannover Rück SE,Germany,Germany,Central Europe,Financial Services,Insurance,Life Insurance,34994606679.45,689669577078.14,78453,Public,Listed,HANN.DE,2024,EUR,Large,Yes
72,Neoen SA,France,France,Western Europe,Energy/Utilities,Renewable Energy,Solar,3622982261.72,10508370808.82,2334,Public,Listed,NEOE.PA,2024,EUR,Large,Yes
73,Yoplait,France,France,Western Europe,Consumer Goods/Retail,Food Retail,Supermarkets,744026125.29,1323013241.34,6645,Public,Listed,YOPL.PA,2024,EUR,Medium,Yes
74,Handelsbanken,Sweden,Sweden,Northern Europe,Financial Services,Banking,Commercial Banking,18337110152.74,356401323353.94,48513,Public,Listed,HAND.ST,2024,EUR,Large,Yes
75,Novo Nordisk,Denmark,Denmark,Northern Europe,Healthcare/Pharma,Pharmaceuticals,Branded Pharma,34583877.41,71724352.86,158,Private,Unlisted,,2024,EUR,Small,No
76,OMV Petrom,Romania,Romania,Eastern Europe,Energy/Utilities,Water Utilities,Water & Waste,603739992.58,1192072426.47,734,Private,Unlisted,,2024,EUR,Medium,Yes
77,Coolblue,Netherlands,Netherlands,Western Europe,Consumer Goods/Retail,Food & Beverage,Alcoholic Beverages,3621227843.32,6452154603.94,21671,Public,Listed,COOL.AS,2024,EUR,Large,Yes
78,JYSK,Denmark,Denmark,Northern Europe,Consumer Goods/Retail,Apparel & Luxury,Apparel,28755660.32,47832385.79,112,Private,Unlisted,,2024,EUR,Small,No
79,Auchan Retail France,France,France,Western Europe,Consumer Goods/Retail,Personal Products,Cosmetics,31099162485.74,52340679711.9,181280,Public,Listed,AUCH.PA,2024,EUR,Large,Yes
80,Uponor Oyj,Finland,Finland,Northern Europe,Construction/Industrials,Construction,General Contracting,23701843.05,41070777.52,85,Private,Unlisted,,2024,EUR,Small,No
81,Crédit Agricole S.A.,France,France,Western Europe,Financial Services,Insurance,Reinsurance,62352035.5,963781488.32,234,Public,Listed,CRÉD.PA,2024,EUR,Small,No
82,Hensoldt AG,Germany,Germany,Central Europe,Construction/Industrials,Real Estate,Commercial Real Estate,3667308490.77,4210214449.59,11562,Public,Listed,HENS.DE,2024,EUR,Large,Yes
83,Ernsting's family,Germany,Germany,Central Europe,Consumer Goods/Retail,Food Retail,Supermarkets,5189081377.85,5478955230.38,33372,Public,Listed,ERNS.DE,2024,EUR,Large,Yes
84,SNP Schneider-Neureither,Germany,Germany,Central Europe,Technology,IT Services,IT Consulting,232513175.3,188320002.34,295,Private,Unlisted,,2024,EUR,Medium,Yes
85,Merlin Properties,Spain,Spain,Southern Europe,Construction/Industrials,Professional Services,Facility Services,61106447.58,64098428.63,402,Private,Unlisted,,2024,EUR,Small,No
86,Nobina AB,Sweden,Sweden,Northern Europe,Automotive/Transport,Auto Components,Tier-1 Supplier,395134239.56,941047304.54,1627,Public,Listed,NOBI.ST,2024,EUR,Medium,Yes
87,argenx SE,Belgium,Belgium,Western Europe,Healthcare/Pharma,Healthcare Services,Clinical Services,97537952.31,140087997.12,292,Private,Unlisted,,2024,EUR,Small,No
88,Comp S.A.,Poland,Poland,Central Europe,Technology,Software,Enterprise Software,22456230361.14,40944642039.53,41640,Public,Listed,COMP.WA,2024,EUR,Large,Yes
89,Net4Gas,Czechia,Czechia,Central Europe,Energy/Utilities,Renewable Energy,Solar,174214321.97,757498831.53,194,Private,Unlisted,,2024,EUR,Medium,No
90,Init Innovation in Traffic Systems,Germany,Germany,Central Europe,Technology,IT Services,Managed Services,1448568126.52,1836056789.54,3587,Public,Listed,INIT.DE,2024,EUR,Medium,Yes
91,Cancom SE,Germany,Germany,Central Europe,Technology,IT Services,IT Consulting,34272191.51,28083522.18,100,Private,Unlisted,,2024,EUR,Small,No
92,Mapfre S.A.,Spain,Spain,Southern Europe,Financial Services,Diversified Financials,Holding Company,9779959692.45,80813725471.09,24431,Public,Listed,MAPF.MC,2024,EUR,Large,Yes
93,SAP SE,Germany,Germany,Central Europe,Technology,Semiconductors,Semiconductor Devices,878751789.95,1732456923.31,2632,Private,Unlisted,,2024,EUR,Medium,Yes
94,Rába Group,Hungary,Hungary,Central Europe,Automotive/Transport,Rail,Rail Operator,928619278.14,1888795449.09,3475,Public,Listed,RÁBA.BU,2024,EUR,Medium,Yes
95,Clarins Groupe,France,France,Western Europe,Consumer Goods/Retail,E-Commerce,Online Retail,165137738.59,237934781.14,633,Public,Listed,CLAR.PA,2024,EUR,Medium,Yes
96,Loomis AB,Sweden,Sweden,Northern Europe,Financial Services,Insurance,Reinsurance,15066579752.14,291551015168.25,58926,Public,Listed,LOOM.ST,2024,EUR,Large,Yes
97,Conad,Italy,Italy,Southern Europe,Consumer Goods/Retail,Hotels & Leisure,Hospitality,5040604998.43,3559190286.29,22870,Public,Listed,CONA.MI,2024,EUR,Large,Yes
98,Rossmann,Germany,Germany,Central Europe,Consumer Goods/Retail,Food Retail,Discount Retail,71373832858.24,92362849593.17,386978,Public,Listed,ROSS.DE,2024,EUR,Large,Yes
99,Subsea 7,Luxembourg,Luxembourg,Western Europe,Energy/Utilities,Renewable Energy,Solar,42457196.01,78742347.84,46,Private,Unlisted,,2024,EUR,Small,No
100,Sev.en Energy,Czechia,Czechia,Central Europe,Energy/Utilities,Renewable Energy,Wind,192865514.92,431654994.74,332,Public,Listed,SEVE.PR,2024,EUR,Medium,Yes
101,InPost (Netherlands ops),Netherlands,Netherlands,Western Europe,Automotive/Transport,Logistics,Postal & Parcel,672872495.06,808673507.74,2349,Private,Unlisted,,2024,EUR,Medium,Yes
102,Davide Campari-Milano,Italy,Italy,Southern Europe,Consumer Goods/Retail,Apparel & Luxury,Apparel,43913926409.42,74344772990.76,252629,Public,Listed,DAVI.MI,2024,EUR,Large,Yes
103,Poste Italiane,Italy,Italy,Southern Europe,Financial Services,Asset Management,Asset Management,2106491108.96,31865192221.92,4204,Public,Listed,POST.MI,2024,EUR,Large,Yes
104,Permanent TSB,Ireland,Ireland,Western Europe,Financial Services,Diversified Financials,Holding Company,2098231945.42,19819418754.16,5715,Public,Listed,PERM.IR,2024,EUR,Large,Yes
105,Šiaulių Bankas,Lithuania,Lithuania,Northern Europe,Financial Services,Capital Markets,Exchange / Clearing,500992645.78,4167043794.59,1933,Private,Unlisted,,2024,EUR,Medium,Yes
106,Tieto­Evry,Finland,Finland,Northern Europe,Technology,Software,Consumer Software,10098909869.7,17597237926.43,12844,Private,Unlisted,,2024,EUR,Large,Yes
107,ANY Security Printing,Hungary,Hungary,Central Europe,Construction/Industrials,Machinery,Industrial Machinery,260210810.72,403920166.86,1665,Public,Listed,ANYS.BU,2024,EUR,Medium,Yes
108,Boehringer Ingelheim,Germany,Germany,Central Europe,Healthcare/Pharma,Biotechnology,Biotech,4898118028.46,7661978035.78,18735,Public,Listed,BOEH.DE,2024,EUR,Large,Yes
109,IMA Group,Italy,Italy,Southern Europe,Construction/Industrials,Construction,Civil Engineering,691806690.1,1418775147.93,3247,Public,Listed,IMAG.MI,2024,EUR,Medium,Yes
110,ING Group,Netherlands,Netherlands,Western Europe,Financial Services,Insurance,P&C Insurance,44694310517.16,637128918159.8,70746,Public,Listed,INGG.AS,2024,EUR,Large,Yes
111,Wirtgen Group,Germany,Germany,Central Europe,Construction/Industrials,Professional Services,Facility Services,9370494256.78,15288955944.98,36956,Public,Listed,WIRT.DE,2024,EUR,Large,Yes
112,ArcelorMittal (Luxembourg),Luxembourg,Luxembourg,Western Europe,Manufacturing,Chemicals,Specialty Chemicals,14879022878.89,31726419734.71,33283,Public,Listed,ARCE.LU,2024,EUR,Large,Yes
113,De'Longhi S.p.A.,Italy,Italy,Southern Europe,Consumer Goods/Retail,Household Products,Household Goods,90206097.93,107555008.4,322,Private,Unlisted,,2024,EUR,Small,No
114,Mango,Spain,Spain,Southern Europe,Consumer Goods/Retail,Food Retail,Discount Retail,6029723039.99,5718443217.94,33711,Public,Listed,MANG.MC,2024,EUR,Large,Yes
115,Super Bock Group,Portugal,Portugal,Southern Europe,Consumer Goods/Retail,Household Products,Household Goods,130277230.5,174684319.83,650,Private,Unlisted,,2024,EUR,Small,No
116,Ferrari N.V.,Italy,Italy,Southern Europe,Automotive/Transport,Airlines,Passenger Airline,1788990505.06,3658371728.89,6782,Public,Listed,FERR.MI,2024,EUR,Large,Yes
117,Iliad Italia,Italy,Italy,Southern Europe,Telecommunications,Wireless Telecom,Mobile Operator,16961478.47,37593460.47,36,Private,Unlisted,,2024,EUR,Small,No
118,Banco Santander,Spain,Spain,Southern Europe,Financial Services,Banking,Commercial Banking,1151834360.19,15001771724.47,4531,Private,Unlisted,,2024,EUR,Medium,Yes
119,ITA Airways,Italy,Italy,Southern Europe,Automotive/Transport,Auto Components,Tier-1 Supplier,224112300.0,417216524.66,569,Private,Unlisted,,2024,EUR,Medium,Yes
120,Marimekko Oyj,Finland,Finland,Northern Europe,Consumer Goods/Retail,Food Retail,Discount Retail,7630289918.65,6531771401.14,66831,Private,Unlisted,,2024,EUR,Large,Yes
121,SES S.A.,Luxembourg,Luxembourg,Western Europe,Telecommunications,Telecom Equipment,Network Equipment,776404387.91,1540261589.75,3004,Private,Unlisted,,2024,EUR,Medium,Yes
122,Irish Continental Group,Ireland,Ireland,Western Europe,Automotive/Transport,Airlines,Passenger Airline,8750730593.92,20828871303.44,32202,Private,Unlisted,,2024,EUR,Large,Yes
123,OTE Group,Greece,Greece,Southern Europe,Telecommunications,Telecom Equipment,Network Equipment,8772223238.54,16894258741.09,36694,Public,Listed,OTEG.AT,2024,EUR,Large,Yes
124,LPP S.A.,Poland,Poland,Central Europe,Consumer Goods/Retail,Apparel & Luxury,Luxury Goods,165610952.76,161148340.71,663,Public,Listed,LPPS.WA,2024,EUR,Medium,Yes
125,Gerresheimer AG,Germany,Germany,Central Europe,Manufacturing,Industrial Gases,Industrial Gases,3524550058.14,6306778201.17,17437,Public,Listed,GERR.DE,2024,EUR,Large,Yes
126,Boliden AB,Sweden,Sweden,Northern Europe,Manufacturing,Paper & Packaging,Packaging,225536279.55,397339724.7,570,Private,Unlisted,,2024,EUR,Medium,Yes
127,Iveco Group N.V.,Italy,Italy,Southern Europe,Automotive/Transport,Airport Operator,Airport Operator,23519417253.43,30898699173.08,61357,Public,Listed,IVEC.MI,2024,EUR,Large,Yes
128,Albert Heijn,Netherlands,Netherlands,Western Europe,Consumer Goods/Retail,Food Retail,Discount Retail,157569750.24,212053616.41,1346,Private,Unlisted,,2024,EUR,Medium,Yes
129,DiaSorin S.p.A.,Italy,Italy,Southern Europe,Healthcare/Pharma,Healthcare Services,Hospital Operator,678366561.58,981285533.58,1829,Private,Unlisted,,2024,EUR,Medium,Yes
130,Verimatrix,France,France,Western Europe,Technology,Software,Consumer Software,211601868.37,389333883.91,606,Private,Unlisted,,2024,EUR,Medium,Yes
131,CNH Industrial N.V.,Italy,Italy,Southern Europe,Construction/Industrials,Real Estate,Commercial Real Estate,2057546532.62,2878936444.71,7005,Public,Unlisted,,2024,EUR,Large,Yes
132,AAK AB,Sweden,Sweden,Northern Europe,Consumer Goods/Retail,Food & Beverage,Packaged Food,120649706.39,91240040.64,605,Private,Unlisted,,2024,EUR,Small,No
133,Flow Traders,Netherlands,Netherlands,Western Europe,Financial Services,Insurance,Life Insurance,13836919924.54,261804184172.35,54344,Public,Unlisted,,2024,EUR,Large,Yes
134,Angelini Pharma,Italy,Italy,Southern Europe,Healthcare/Pharma,Pharmaceuticals,Generic Pharma,2890047296.54,6374364970.58,13976,Public,Listed,ANGE.MI,2024,EUR,Large,Yes
135,Atlas Copco,Sweden,Sweden,Northern Europe,Construction/Industrials,Real Estate,Residential Real Estate,59210279954.09,127196024026.07,225712,Public,Listed,ATLA.ST,2024,EUR,Large,Yes
136,InVivo Group,France,France,Western Europe,Consumer Goods/Retail,Food Retail,Supermarkets,6171291945.55,6394679870.23,37224,Private,Unlisted,,2024,EUR,Large,Yes
137,Edison SpA,Italy,Italy,Southern Europe,Energy/Utilities,Electric Utilities,Power Generation,583128940.65,2369427980.97,510,Private,Unlisted,,2024,EUR,Medium,Yes
138,Knorr-Bremse AG,Germany,Germany,Central Europe,Automotive/Transport,Logistics,Postal & Parcel,8391236528.8,19761894976.81,25282,Public,Listed,KNOR.DE,2024,EUR,Large,Yes
139,RHI Magnesita,Austria,Austria,Central Europe,Manufacturing,Metals & Mining,Steel,35601082706.17,55003541198.96,152354,Public,Listed,RHIM.VI,2024,EUR,Large,Yes
140,Viohalco,Greece,Greece,Southern Europe,Manufacturing,Industrial Gases,Industrial Gases,21964663.73,26241204.3,75,Public,Listed,VIOH.AT,2024,EUR,Small,No
141,Enea S.A.,Poland,Poland,Central Europe,Energy/Utilities,Renewable Energy,Solar,58367421.39,242219171.03,39,Private,Unlisted,,2024,EUR,Small,No
142,Accor SA,France,France,Western Europe,Consumer Goods/Retail,Media & Entertainment,Media,86464291569.65,97699570839.11,541113,Private,Unlisted,,2024,EUR,Large,Yes
143,Voltalia SA,France,France,Western Europe,Energy/Utilities,Water Utilities,Water & Waste,173436529.96,400134360.63,129,Public,Listed,VOLT.PA,2024,EUR,Medium,Yes
144,Ubisoft Entertainment,France,France,Western Europe,Technology,IT Services,IT Consulting,4670067361.39,8597500209.11,10409,Public,Listed,UBIS.PA,2024,EUR,Large,Yes
145,Desigual,Spain,Spain,Southern Europe,Consumer Goods/Retail,Food Retail,Supermarkets,35762770956.63,54644354577.32,199587,Public,Listed,DESI.MC,2024,EUR,Large,Yes
146,Galeria Karstadt Kaufhof,Germany,Germany,Central Europe,Consumer Goods/Retail,Apparel & Luxury,Apparel,40062578988.72,50903855098.04,213688,Public,Listed,GALE.DE,2024,EUR,Large,Yes
147,Sopra Steria,France,France,Western Europe,Technology,Hardware,Electronic Components,3169443354.37,4733976128.32,6527,Public,Listed,SOPR.PA,2024,EUR,Large,Yes
148,Fugro N.V.,Netherlands,Netherlands,Western Europe,Energy/Utilities,Water Utilities,Water & Waste,235334510.5,1045443240.33,309,Private,Unlisted,,2024,EUR,Medium,Yes
149,WashTec AG,Germany,Germany,Central Europe,Construction/Industrials,Construction,General Contracting,18273267224.14,34020139167.04,102517,Public,Listed,WASH.DE,2024,EUR,Large,Yes
150,Avast (Czechia ops),Czechia,Czechia,Central Europe,Technology,Hardware,Electronic Components,249895991.13,312389929.77,326,Public,Listed,AVAS.PR,2024,EUR,Medium,Yes
151,Viscofan Group,Spain,Spain,Southern Europe,Consumer Goods/Retail,Food & Beverage,Beverages,411284583.29,336898700.86,1719,Private,Unlisted,,2024,EUR,Medium,Yes
152,Vion Food Group,Netherlands,Netherlands,Western Europe,Consumer Goods/Retail,Household Products,Household Goods,16910539620.22,20391234839.62,126475,Public,Listed,VION.AS,2024,EUR,Large,Yes
