company_id,company_name,year,sector,country,scope_1_emissions_tco2e,scope_2_emissions_tco2e,scope_3_emissions_tco2e,energy_consumption_mwh,renewable_energy_percent,water_usage_m3,waste_generated_tons,waste_recycled_percent,employee_count,female_employee_ratio,board_independence_percent,incident_count,esg_score
43,Polytec Group,2024,Automotive/Transport,Austria,2411.89,1238.2,18954.53,3090.82,22.04,16591.57,1362.84,59.93,129,0.336,61.65,1,54.13
44,VodafoneZiggo,2024,Telecommunications,Netherlands,79190.57,446098.88,1353352.13,704547.41,30.72,1362184.78,55416.55,52.45,60509,0.354,64.63,4,55.9
45,Landi Renzo,2024,Automotive/Transport,Italy,367025.02,99551.82,4083306.45,362296.86,19.13,773499.2,148887.22,82.31,20575,0.301,74.85,9,57.42
46,Stillfront Group,2024,Technology,Sweden,130.09,139.65,787.62,961.15,54.67,2765.4,191.25,90.42,209,0.304,64.36,1,66.5
47,Unipol Gruppo,2024,Financial Services,Italy,4585.4,27201.46,3807804.41,35594.5,67.94,205954.56,12618.18,66.3,52940,0.454,77.67,2,66.16
48,Euralis,2024,Consumer Goods/Retail,France,264573.9,164543.62,3183915.01,182162.61,44.98,4566524.65,333209.1,73.28,120373,0.581,56.77,6,61.25
49,Polski Bank Komórek Macierzystych,2024,Healthcare/Pharma,Poland,4703.99,5499.71,39037.16,7234.16,75.12,395377.8,1576.57,61.46,1605,0.68,83.32,1,72.03
50,MONETA Stavební Spořitelna,2024,Financial Services,Czechia,57.65,110.81,94975.9,1176.44,63.21,3555.52,227.53,90.79,649,0.525,79.66,2,59.46
51,Rubeus Medical,2024,Healthcare/Pharma,Czechia,468670.69,928768.5,4384875.51,545011.43,26.97,28722468.42,591724.6,66.57,124475,0.717,72.24,6,61.62
52,Sacyr S.A.,2024,Construction/Industrials,Spain,691.35,800.91,8056.25,655.09,26.71,6900.92,1147.61,59.05,107,0.223,57.13,1,56.93
53,Jost Werke,2024,Construction/Industrials,Germany,3718566.73,846016.77,22153704.43,3585906.05,45.21,24808984.03,1629857.5,43.14,298928,0.252,59.31,27,48.24
54,Kesko Oyj,2024,Consumer Goods/Retail,Finland,37166.06,93556.69,967440.18,147741.61,57.3,6296918.5,13763.94,68.22,64295,0.487,66.59,6,62.44
55,Prada S.p.A.,2024,Consumer Goods/Retail,Italy,469.34,196.76,2316.83,315.5,72.93,20838.25,184.82,50.11,317,0.645,50.6,2,67.61
56,Komerční banka,2024,Financial Services,Czechia,249.06,663.2,304633.3,1796.68,64.93,9064.45,133.21,79.51,1761,0.528,75.16,0,64.51
57,Paulig Group,2024,Consumer Goods/Retail,Finland,31485.04,21752.11,202417.59,46578.85,71.84,1129044.58,13525.0,86.28,13930,0.673,55.25,5,69.55
58,Red Bull GmbH,2024,Consumer Goods/Retail,Austria,2146.15,5409.41,36833.04,6708.52,55.31,170092.61,5894.26,79.73,4482,0.659,48.84,3,70.96
59,Kojamo Oyj,2024,Construction/Industrials,Finland,2614.68,1740.62,11198.59,1868.81,48.08,11245.08,844.19,74.73,224,0.303,53.85,2,60.71
60,CaixaBank,2024,Financial Services,Spain,90.89,503.11,90688.53,846.33,76.03,3245.12,89.16,68.47,908,0.572,77.97,1,69.09
61,Antibiotice Iasi,2024,Healthcare/Pharma,Romania,245.76,997.85,3819.61,1538.11,50.93,42545.8,643.96,71.66,133,0.518,63.84,1,62.84
62,Optiver,2024,Financial Services,Netherlands,1176.37,12876.34,653728.25,34331.74,93.55,80633.59,1445.56,63.48,20235,0.44,76.0,2,73.57
63,Rovi Laboratorios,2024,Healthcare/Pharma,Spain,11731.85,9870.01,56190.29,13412.33,74.55,328694.72,1325.82,50.94,3161,0.525,66.32,4,64.77
64,Tubacex SA,2024,Manufacturing,Spain,12728.73,5896.28,48649.48,10471.67,33.4,182550.95,19274.02,81.83,894,0.328,49.1,4,61.48
65,Eiffel Energy Transition,2024,Energy/Utilities,France,22708985.08,2119265.41,26734093.14,25576156.32,65.09,148521610.36,599396.79,45.11,70441,0.393,59.47,20,58.85
66,Transgaz,2024,Energy/Utilities,Romania,2040105.43,138342.26,4937101.7,999683.34,38.49,13294208.07,70793.65,61.13,2759,0.336,62.7,7,49.09
67,Telenet Group,2024,Telecommunications,Belgium,150094.45,2854147.2,7075844.17,2606055.54,44.12,6290458.17,354927.21,85.62,207802,0.322,69.98,7,61.3
68,Alpha Bank,2024,Financial Services,Greece,411.37,1677.3,488268.69,3478.5,78.51,5900.3,415.69,77.95,4249,0.559,80.89,2,63.46
69,Polimex Mostostal,2024,Construction/Industrials,Poland,45706.57,42532.84,445721.38,74726.28,30.13,236708.29,72022.28,58.23,4730,0.212,31.35,8,49.53
70,DSV A/S,2024,Automotive/Transport,Denmark,1502907.0,935647.5,17788718.9,1560687.73,47.14,16174435.6,860360.66,76.33,122322,0.28,61.27,17,47.92
71,Hannover Rück SE,2024,Financial Services,Germany,3787.83,67672.71,12489070.43,151285.13,53.71,460016.17,14018.65,86.16,78453,0.52,75.41,3,61.93
72,Neoen SA,2024,Energy/Utilities,France,2414703.72,157103.51,3789931.62,2005486.3,40.58,4231908.11,74178.53,57.01,2334,0.384,75.88,5,65.7
73,Yoplait,2024,Consumer Goods/Retail,France,1145.86,4411.48,43826.91,5254.01,54.67,391297.97,1718.41,81.38,6645,0.617,63.7,2,71.43
74,Handelsbanken,2024,Financial Services,Sweden,6292.99,38480.75,4479302.31,56693.94,61.71,177771.85,12321.2,60.33,48513,0.436,80.28,3,66.63
75,Novo Nordisk,2024,Healthcare/Pharma,Denmark,120.98,679.84,2787.77,574.92,27.85,30775.71,463.91,50.83,158,0.597,73.68,0,61.66
76,OMV Petrom,2024,Energy/Utilities,Romania,278968.86,42732.77,484663.32,78657.75,42.14,2668218.34,9974.93,67.14,734,0.358,71.05,2,60.59
77,Coolblue,2024,Consumer Goods/Retail,Netherlands,10434.1,61452.52,573821.9,20739.67,73.34,542118.73,53181.13,70.56,21671,0.632,69.62,5,71.0
78,JYSK,2024,Consumer Goods/Retail,Denmark,214.75,533.66,2811.13,387.42,53.96,22943.5,60.14,76.0,112,0.603,69.68,1,65.09
79,Auchan Retail France,2024,Consumer Goods/Retail,France,453361.85,254924.73,2735755.62,257012.82,58.35,11684524.22,359197.16,57.22,181280,0.567,77.17,6,69.41
80,Uponor Oyj,2024,Construction/Industrials,Finland,2284.62,626.49,12464.85,1271.8,24.08,9938.01,1016.67,70.49,85,0.164,42.56,1,48.74
81,Crédit Agricole S.A.,2024,Financial Services,France,12.92,76.95,27033.77,230.49,43.51,589.06,56.4,71.59,234,0.434,78.42,1,61.75
82,Hensoldt AG,2024,Construction/Industrials,Germany,332884.67,127512.02,2533840.73,298303.06,30.04,1758711.27,274106.04,76.01,11562,0.22,72.79,11,47.13
83,Ernsting's family,2024,Consumer Goods/Retail,Germany,75700.73,64216.99,1077776.87,80864.31,70.29,3977821.95,86015.55,49.62,33372,0.606,45.99,4,55.76
84,SNP Schneider-Neureither,2024,Technology,Germany,328.05,546.78,1231.97,2508.57,76.44,8350.88,119.01,76.16,295,0.425,74.26,0,70.98
85,Merlin Properties,2024,Construction/Industrials,Spain,4047.1,1864.04,22603.19,3603.87,49.02,29766.77,3403.18,37.76,402,0.315,63.38,3,54.92
86,Nobina AB,2024,Automotive/Transport,Sweden,7949.03,4381.47,114783.87,24646.96,46.42,75931.15,11483.47,59.43,1627,0.272,69.53,4,63.54
87,argenx SE,2024,Healthcare/Pharma,Belgium,881.22,1627.68,6631.53,1437.16,42.21,31702.24,714.13,76.48,292,0.559,74.04,1,70.57
88,Comp S.A.,2024,Technology,Poland,35979.89,166724.94,282810.66,232944.63,69.23,298461.13,62152.8,89.03,41640,0.397,68.6,2,73.32
89,Net4Gas,2024,Energy/Utilities,Czechia,90988.24,7556.65,123630.55,54820.66,72.58,885841.45,7785.13,51.84,194,0.346,73.95,0,61.98
90,Init Innovation in Traffic Systems,2024,Technology,Germany,1838.52,6010.96,17080.52,6174.74,71.28,29950.16,1960.96,58.39,3587,0.316,80.64,1,72.07
91,Cancom SE,2024,Technology,Germany,16.79,201.8,348.94,282.91,39.37,1117.02,30.6,61.93,100,0.39,51.95,0,62.58
92,Mapfre S.A.,2024,Financial Services,Spain,2449.94,4922.09,4351366.7,57131.18,60.23,71126.56,2802.38,63.98,24431,0.579,71.66,3,60.76
93,SAP SE,2024,Technology,Germany,938.58,1207.47,4541.08,6612.29,92.83,22450.17,206.72,78.58,2632,0.429,64.62,1,70.17
94,Rába Group,2024,Automotive/Transport,Hungary,52622.49,20305.08,518993.81,67939.8,54.06,227148.37,6687.14,51.49,3475,0.251,65.58,5,54.68
95,Clarins Groupe,2024,Consumer Goods/Retail,France,1424.93,1777.05,23560.42,2486.4,50.23,28975.83,2802.14,62.97,633,0.681,79.85,2,71.71
96,Loomis AB,2024,Financial Services,Sweden,4165.26,18576.13,4361534.8,73085.73,71.44,115519.39,14115.68,85.62,58926,0.409,74.32,3,68.94
97,Conad,2024,Consumer Goods/Retail,Italy,33191.49,36753.04,276383.88,29976.07,71.88,1975178.82,78546.25,82.71,22870,0.639,64.67,5,71.54
98,Rossmann,2024,Consumer Goods/Retail,Germany,957345.92,1159919.97,7344305.31,1341463.08,52.82,51981113.09,117466.77,81.68,386978,0.618,74.85,8,65.86
99,Subsea 7,2024,Energy/Utilities,Luxembourg,42207.87,3794.08,90700.14,15890.13,35.38,153329.11,1710.4,70.22,46,0.261,56.71,0,51.61
100,Sev.en Energy,2024,Energy/Utilities,Czechia,121383.01,15448.5,279398.71,82395.8,37.6,588693.69,2983.11,56.63,332,0.252,64.86,1,58.17
101,InPost (Netherlands ops),2024,Automotive/Transport,Netherlands,44049.19,6066.32,364600.88,16946.77,39.31,106761.47,15947.82,62.87,2349,0.237,66.81,6,52.73
102,Davide Campari-Milano,2024,Consumer Goods/Retail,Italy,580158.91,464300.45,7778929.93,733029.94,73.17,9986770.42,737043.9,53.42,252629,0.566,68.7,6,65.9
103,Poste Italiane,2024,Financial Services,Italy,652.96,3767.25,546560.4,7928.05,86.39,18820.5,1501.99,74.64,4204,0.553,73.33,1,71.74
104,Permanent TSB,2024,Financial Services,Ireland,174.33,2795.42,504209.86,6575.15,94.96,18999.81,1398.92,91.29,5715,0.434,80.0,2,72.05
105,Šiaulių Bankas,2024,Financial Services,Lithuania,131.75,274.45,149219.01,1046.07,89.88,5510.64,129.04,74.86,1933,0.525,75.68,2,64.47
106,Tieto­Evry,2024,Technology,Finland,3780.12,55160.56,121577.02,84346.18,83.06,168376.95,10336.9,61.75,12844,0.337,54.45,0,66.66
107,ANY Security Printing,2024,Construction/Industrials,Hungary,10159.5,2731.38,32814.51,6262.66,18.18,79508.3,18756.0,50.83,1665,0.221,49.31,5,59.72
108,Boehringer Ingelheim,2024,Healthcare/Pharma,Germany,50801.78,66571.16,364677.21,132315.34,28.92,1566119.76,27234.8,63.38,18735,0.531,81.36,3,69.09
109,IMA Group,2024,Construction/Industrials,Italy,35212.53,23078.1,185377.51,35817.25,28.03,306066.23,22102.19,55.33,3247,0.303,48.99,8,56.18
110,ING Group,2024,Financial Services,Netherlands,10386.71,62431.2,5287498.72,241908.05,61.11,233159.66,35644.18,89.3,70746,0.476,89.04,3,77.48
111,Wirtgen Group,2024,Construction/Industrials,Germany,197125.48,292431.03,2194940.56,431902.13,21.8,4481943.8,398427.63,75.23,36956,0.175,64.28,17,53.13
112,ArcelorMittal (Luxembourg),2024,Manufacturing,Luxembourg,894272.29,564565.78,3822159.82,907848.34,32.85,17413755.9,721165.55,72.69,33283,0.299,49.83,14,57.82
113,De'Longhi S.p.A.,2024,Consumer Goods/Retail,Italy,1115.36,348.7,10797.38,623.48,53.52,52886.81,542.89,81.06,322,0.696,56.66,0,64.02
114,Mango,2024,Consumer Goods/Retail,Spain,76420.25,114297.71,839638.56,84794.67,66.15,1961627.98,115012.28,77.08,33711,0.651,78.92,5,68.6
115,Super Bock Group,2024,Consumer Goods/Retail,Portugal,892.7,1989.31,11166.21,999.83,45.52,77267.06,1021.9,49.3,650,0.493,52.61,1,60.51
116,Ferrari N.V.,2024,Automotive/Transport,Italy,42021.23,19704.72,447731.43,88068.53,44.58,492342.28,35173.13,76.93,6782,0.328,73.19,7,65.03
117,Iliad Italia,2024,Telecommunications,Italy,61.06,222.81,704.22,488.35,51.96,1283.46,33.25,53.27,36,0.472,66.65,2,63.52
118,Banco Santander,2024,Financial Services,Spain,296.8,1821.79,460035.97,4829.98,92.95,14225.41,105.79,94.83,4531,0.539,56.93,2,61.11
119,ITA Airways,2024,Automotive/Transport,Italy,2451.68,6946.09,90598.02,7517.73,28.67,51208.35,1214.2,59.11,569,0.25,35.63,2,49.75
120,Marimekko Oyj,2024,Consumer Goods/Retail,Finland,98000.88,150174.33,1125974.36,123477.18,71.8,4174803.9,73969.52,82.58,66831,0.559,42.84,6,59.81
121,SES S.A.,2024,Telecommunications,Luxembourg,3296.88,17013.12,26678.44,36151.37,44.06,31304.42,1128.64,72.69,3004,0.367,72.04,3,65.05
122,Irish Continental Group,2024,Automotive/Transport,Ireland,403385.79,252356.77,3666230.88,550651.11,18.16,3868723.15,41780.86,47.55,32202,0.318,42.02,13,44.96
123,OTE Group,2024,Telecommunications,Greece,25687.9,179629.83,398162.11,430543.36,52.8,1029912.96,5107.57,66.8,36694,0.462,74.87,5,63.5
124,LPP S.A.,2024,Consumer Goods/Retail,Poland,2167.64,2559.19,18357.08,2736.48,73.86,24731.64,666.06,78.23,663,0.622,72.78,0,72.39
125,Gerresheimer AG,2024,Manufacturing,Germany,422040.76,102406.73,1357547.74,422462.91,42.44,6834903.18,139236.14,45.77,17437,0.369,51.5,10,57.25
126,Boliden AB,2024,Manufacturing,Sweden,25282.96,4977.64,79962.86,26230.38,21.25,178290.02,10778.98,41.89,570,0.331,40.91,1,55.48
127,Iveco Group N.V.,2024,Automotive/Transport,Italy,1644659.62,323713.21,19098522.24,759947.53,58.84,5861859.4,661076.43,80.47,61357,0.343,73.23,13,51.12
128,Albert Heijn,2024,Consumer Goods/Retail,Netherlands,1945.77,2854.8,33511.6,3895.28,56.48,18050.9,2685.44,66.21,1346,0.552,38.18,2,57.86
129,DiaSorin S.p.A.,2024,Healthcare/Pharma,Italy,4942.7,9986.05,28756.05,5715.42,64.52,167871.13,8713.52,84.81,1829,0.579,58.9,2,72.9
130,Verimatrix,2024,Technology,France,76.23,1600.79,2216.3,1579.28,94.43,8385.76,507.05,61.84,606,0.28,74.88,0,65.34
131,CNH Industrial N.V.,2024,Construction/Industrials,Italy,125180.54,65454.02,820708.24,174775.85,28.29,1195672.32,135319.69,41.32,7005,0.169,59.31,10,44.45
132,AAK AB,2024,Consumer Goods/Retail,Sweden,1100.86,582.2,8141.31,1294.22,67.45,40341.61,662.78,86.96,605,0.629,71.42,1,73.86
133,Flow Traders,2024,Financial Services,Netherlands,1425.92,8337.54,6179950.7,25857.63,80.16,185423.76,6064.5,73.28,54344,0.469,57.0,3,55.66
134,Angelini Pharma,2024,Healthcare/Pharma,Italy,23947.88,30881.89,159013.47,29920.87,48.93,1583934.91,26388.08,50.13,13976,0.599,83.39,5,70.33
135,Atlas Copco,2024,Construction/Industrials,Sweden,2586683.47,806796.45,16061533.63,2121510.94,15.26,20142322.56,2091680.9,53.61,225712,0.316,48.68,24,53.58
136,InVivo Group,2024,Consumer Goods/Retail,France,33525.48,28443.19,189749.51,70244.81,40.88,2844137.45,74833.27,72.4,37224,0.615,63.05,6,68.23
137,Edison SpA,2024,Energy/Utilities,Italy,612639.17,29307.22,1322189.0,243067.72,35.21,1620714.31,9763.83,69.47,510,0.302,41.69,3,47.56
138,Knorr-Bremse AG,2024,Automotive/Transport,Germany,192384.58,104750.1,3046139.93,439075.43,15.45,985830.41,237953.58,58.27,25282,0.285,61.38,10,55.21
139,RHI Magnesita,2024,Manufacturing,Austria,3548682.83,1738765.85,19561565.13,2561199.17,14.43,133379294.06,2034348.8,81.03,152354,0.236,64.17,17,46.03
140,Viohalco,2024,Manufacturing,Greece,2414.05,798.73,12746.14,1858.98,34.03,65930.4,1057.76,59.04,75,0.375,47.27,1,53.47
141,Enea S.A.,2024,Energy/Utilities,Poland,12670.27,4055.14,19936.21,31029.42,29.86,171813.29,2655.01,75.05,39,0.259,64.97,0,64.58
142,Accor SA,2024,Consumer Goods/Retail,France,314174.06,1402676.96,11030430.73,1403438.11,73.81,23350706.79,1084380.06,75.91,541113,0.63,46.32,9,62.48
143,Voltalia SA,2024,Energy/Utilities,France,170792.14,9154.58,352094.46,23516.34,48.56,603082.2,2104.96,75.29,129,0.377,74.48,3,56.76
144,Ubisoft Entertainment,2024,Technology,France,8958.59,26538.97,60777.12,20877.26,41.7,128017.72,2687.12,88.87,10409,0.323,72.76,0,67.86
145,Desigual,2024,Consumer Goods/Retail,Spain,494576.02,265714.86,3035682.89,514473.9,66.12,18713062.37,606015.67,76.14,199587,0.706,77.67,7,71.5
146,Galeria Karstadt Kaufhof,2024,Consumer Goods/Retail,Germany,391956.83,493539.23,6803902.26,462235.5,49.97,13796598.08,183101.97,63.13,213688,0.552,63.97,6,61.98
147,Sopra Steria,2024,Technology,France,3575.42,18519.98,52791.5,33574.9,84.79,78984.23,1704.74,64.11,6527,0.437,81.52,0,73.39
148,Fugro N.V.,2024,Energy/Utilities,Netherlands,156451.22,11568.06,185583.64,120554.73,56.59,1058481.4,10019.77,69.0,309,0.317,43.05,2,58.39
149,WashTec AG,2024,Construction/Industrials,Germany,1217964.8,512935.95,6567365.99,650014.83,23.34,8454268.07,257712.27,55.81,102517,0.22,73.59,20,50.54
150,Avast (Czechia ops),2024,Technology,Czechia,316.16,1274.36,2973.33,1702.25,51.94,5254.96,438.9,70.69,326,0.327,67.88,0,68.38
151,Viscofan Group,2024,Consumer Goods/Retail,Spain,5563.28,7858.77,94771.17,4290.39,32.39,44541.23,2415.96,76.38,1719,0.714,37.81,2,58.16
152,Vion Food Group,2024,Consumer Goods/Retail,Netherlands,111468.63,270815.34,1740798.33,382603.09,73.69,12220437.8,90380.04,48.94,126475,0.674,60.05,5,63.48
153,Saint-Gobain,2024,Manufacturing,France,6250.12,9011.45,35222.07,17424.77,36.2,724769.11,7948.54,83.02,590,0.342,45.7,1,60.95
154,OP Financial Group,2024,Financial Services,Finland,13.18,36.95,3443.4,73.58,76.99,404.88,37.94,84.45,141,0.49,81.8,1,72.56
155,Lafarge France,2024,Construction/Industrials,France,46549.57,15411.07,300570.65,42288.48,24.6,287033.43,23068.56,55.64,3068,0.309,43.61,7,53.82
156,UCB S.A.,2024,Healthcare/Pharma,Belgium,89278.74,135229.32,368215.11,324822.13,65.65,9991348.14,45222.12,76.39,33943,0.668,80.13,6,72.28
157,Salzgitter AG,2024,Manufacturing,Germany,1355544.3,706862.65,6617164.63,2132759.16,50.35,24577451.45,555882.75,40.73,116786,0.267,77.44,17,60.66
158,Inwit S.p.A.,2024,Telecommunications,Italy,48989.97,534061.42,1003815.03,764386.11,75.36,986275.55,15673.44,67.24,38522,0.39,57.52,5,66.3
159,ESB Group,2024,Energy/Utilities,Ireland,5603593.32,439241.35,8906963.15,2378522.58,18.24,24191814.14,325870.94,46.12,8634,0.204,67.99,11,52.21
160,Eiffage SA,2024,Construction/Industrials,France,43198.17,6154.2,165657.41,28457.37,37.32,256758.61,35034.72,74.41,2703,0.278,74.33,7,58.06
161,Lavazza Group,2024,Consumer Goods/Retail,Italy,222.93,435.43,4868.5,756.13,30.28,43945.68,463.21,67.76,274,0.528,66.07,1,63.59
162,Slovenské elektrárne,2024,Energy/Utilities,Slovakia,706312.04,63536.19,1181241.13,490940.14,58.49,2087408.15,104745.25,76.8,1394,0.294,55.51,5,67.46
163,Snam S.p.A.,2024,Energy/Utilities,Italy,917986.82,132802.1,2189193.14,397084.06,45.6,4278273.95,58162.87,78.66,839,0.361,66.42,4,63.98
164,Gecina SA,2024,Construction/Industrials,France,61479.71,29369.51,370263.57,21921.38,31.58,184391.14,21426.97,66.93,2681,0.316,43.58,6,57.03
165,Rubis SCA,2024,Energy/Utilities,France,2741139.6,162555.49,6102189.42,2321647.56,45.48,22481430.43,223234.3,67.9,6943,0.327,56.84,10,58.87
166,Stabilus SE,2024,Construction/Industrials,Germany,44547.97,9068.3,242768.67,24677.52,41.77,258421.97,25061.26,68.72,3514,0.231,34.86,7,52.84
167,Forte Furniture,2024,Consumer Goods/Retail,Poland,3040.62,3675.95,48050.41,9190.65,27.96,319359.59,8134.87,74.03,2646,0.61,38.85,2,55.71
